"Default","Salary","Debt","Marital"
0,3200,1370,0
0,5230,2700,1
1,2220,1571,0
0,2789,1100,0
0,3310,1700,1
0,3512,2670,1
0,4930,3180,1
1,2220,1571,0
0,3759,1450,0
1,4310,1905,1
0,7050,4023,1
0,5230,2310,0
1,2220,1571,0
0,2789,1100,0
0,6310,3130,0
0,2260,1420,1
0,4280,2810,1
1,2020,1571,1
0,2789,1810,1
1,2310,1300,0
0,3690,2370,1
0,5230,3020,1
1,2220,1571,0
0,2789,1170,0
0,3619,1700,1
0,6290,2207,0
0,5230,2700,1
1,2220,1571,0
0,2789,1130,0
1,3310,2100,1
0,2509,1120,0
0,6230,4420,1
0,2020,971,0
0,2789,1800,1
1,4310,3500,1
0,2503,1424,1
0,5775,2912,0
0,3057,1683,1
1,5412,3705,0
0,3180,2212,1
1,6082,3200,0
